Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-06-06 00:00:00+00:00,BT,Bhutan,SEARO,1,48,0,0
2020-06-07 00:00:00+00:00,BT,Bhutan,SEARO,0,48,0,0
2020-06-08 00:00:00+00:00,BT,Bhutan,SEARO,11,59,0,0
2020-06-09 00:00:00+00:00,BT,Bhutan,SEARO,0,59,0,0
2020-06-10 00:00:00+00:00,BT,Bhutan,SEARO,0,59,0,0
2020-06-11 00:00:00+00:00,BT,Bhutan,SEARO,3,62,0,0
2020-06-12 00:00:00+00:00,BT,Bhutan,SEARO,0,62,0,0
2020-01-30 00:00:00+00:00,IN,India,SEARO,1,1,0,0
2020-01-31 00:00:00+00:00,IN,India,SEARO,0,1,0,0
2020-02-01 00:00:00+00:00,IN,India,SEARO,0,1,0,0
2020-02-02 00:00:00+00:00,IN,India,SEARO,1,2,0,0
2020-02-03 00:00:00+00:00,IN,India,SEARO,1,3,0,0
2020-02-04 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-05 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-06 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-07 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-08 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-09 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-10 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-11 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-12 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-13 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-14 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-15 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-16 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-17 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-18 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-19 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-20 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-21 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-22 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-23 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-24 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-25 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-26 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-27 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-28 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-02-29 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-03-01 00:00:00+00:00,IN,India,SEARO,0,3,0,0
2020-03-02 00:00:00+00:00,IN,India,SEARO,2,5,0,0
2020-03-03 00:00:00+00:00,IN,India,SEARO,0,5,0,0
2020-03-04 00:00:00+00:00,IN,India,SEARO,22,27,0,0
2020-03-05 00:00:00+00:00,IN,India,SEARO,2,29,0,0
2020-03-06 00:00:00+00:00,IN,India,SEARO,2,31,0,0
2020-03-07 00:00:00+00:00,IN,India,SEARO,3,34,0,0
2020-03-08 00:00:00+00:00,IN,India,SEARO,5,39,0,0
2020-03-09 00:00:00+00:00,IN,India,SEARO,5,44,0,0
2020-03-10 00:00:00+00:00,IN,India,SEARO,6,50,0,0
2020-03-11 00:00:00+00:00,IN,India,SEARO,10,60,0,0
2020-03-12 00:00:00+00:00,IN,India,SEARO,14,74,0,0
2020-03-13 00:00:00+00:00,IN,India,SEARO,7,81,1,1
2020-03-14 00:00:00+00:00,IN,India,SEARO,3,84,1,2
2020-03-15 00:00:00+00:00,IN,India,SEARO,23,107,0,2
2020-03-16 00:00:00+00:00,IN,India,SEARO,7,114,0,2
2020-03-17 00:00:00+00:00,IN,India,SEARO,23,137,1,3
2020-03-18 00:00:00+00:00,IN,India,SEARO,14,151,0,3
2020-03-19 00:00:00+00:00,IN,India,SEARO,44,195,1,4
2020-03-20 00:00:00+00:00,IN,India,SEARO,0,195,0,4
2020-03-21 00:00:00+00:00,IN,India,SEARO,88,283,0,4
2020-03-22 00:00:00+00:00,IN,India,SEARO,58,341,1,5
2020-03-23 00:00:00+00:00,IN,India,SEARO,93,434,4,9
2020-03-24 00:00:00+00:00,IN,India,SEARO,85,519,0,9
2020-03-25 00:00:00+00:00,IN,India,SEARO,87,606,1,10
2020-03-26 00:00:00+00:00,IN,India,SEARO,43,649,3,13
2020-03-27 00:00:00+00:00,IN,India,SEARO,75,724,4,17
2020-03-28 00:00:00+00:00,IN,India,SEARO,0,724,0,17
2020-03-29 00:00:00+00:00,IN,India,SEARO,255,979,8,25
2020-03-30 00:00:00+00:00,IN,India,SEARO,92,1071,4,29
2020-03-31 00:00:00+00:00,IN,India,SEARO,180,1251,3,32
2020-04-01 00:00:00+00:00,IN,India,SEARO,385,1636,6,38
2020-04-02 00:00:00+00:00,IN,India,SEARO,329,1965,12,50
2020-04-03 00:00:00+00:00,IN,India,SEARO,336,2301,6,56
2020-04-04 00:00:00+00:00,IN,India,SEARO,601,2902,12,68
2020-04-05 00:00:00+00:00,IN,India,SEARO,472,3374,9,77
2020-04-06 00:00:00+00:00,IN,India,SEARO,693,4067,32,109
2020-04-07 00:00:00+00:00,IN,India,SEARO,354,4421,5,114
2020-04-08 00:00:00+00:00,IN,India,SEARO,853,5274,35,149
2020-04-09 00:00:00+00:00,IN,India,SEARO,591,5865,20,169
2020-04-10 00:00:00+00:00,IN,India,SEARO,547,6412,30,199
2020-04-11 00:00:00+00:00,IN,India,SEARO,1035,7447,40,239
2020-04-12 00:00:00+00:00,IN,India,SEARO,909,8356,34,273
2020-04-13 00:00:00+00:00,IN,India,SEARO,796,9152,35,308
2020-04-14 00:00:00+00:00,IN,India,SEARO,1211,10363,31,339
2020-04-15 00:00:00+00:00,IN,India,SEARO,1076,11439,38,377
2020-04-16 00:00:00+00:00,IN,India,SEARO,941,12380,37,414
2020-04-17 00:00:00+00:00,IN,India,SEARO,1007,13387,23,437
2020-04-18 00:00:00+00:00,IN,India,SEARO,991,14378,43,480
2020-04-19 00:00:00+00:00,IN,India,SEARO,1334,15712,27,507
2020-04-20 00:00:00+00:00,IN,India,SEARO,1553,17265,36,543
2020-04-21 00:00:00+00:00,IN,India,SEARO,1336,18601,47,590
2020-04-22 00:00:00+00:00,IN,India,SEARO,1383,19984,50,640
2020-04-23 00:00:00+00:00,IN,India,SEARO,1409,21393,41,681
2020-04-24 00:00:00+00:00,IN,India,SEARO,1684,23077,37,718
2020-04-25 00:00:00+00:00,IN,India,SEARO,1429,24506,57,775
2020-04-26 00:00:00+00:00,IN,India,SEARO,1990,26496,49,824
2020-04-27 00:00:00+00:00,IN,India,SEARO,1396,27892,48,872
2020-04-28 00:00:00+00:00,IN,India,SEARO,1543,29435,62,934
2020-04-29 00:00:00+00:00,IN,India,SEARO,1897,31332,73,1007
2020-04-30 00:00:00+00:00,IN,India,SEARO,1718,33050,67,1074
2020-05-01 00:00:00+00:00,IN,India,SEARO,1993,35043,73,1147
2020-05-02 00:00:00+00:00,IN,India,SEARO,2293,37336,71,1218
2020-05-03 00:00:00+00:00,IN,India,SEARO,2644,39980,83,1301
2020-05-04 00:00:00+00:00,IN,India,SEARO,2553,42533,72,1373
2020-05-05 00:00:00+00:00,IN,India,SEARO,3900,46433,195,1568
2020-05-06 00:00:00+00:00,IN,India,SEARO,2958,49391,126,1694
2020-05-07 00:00:00+00:00,IN,India,SEARO,3561,52952,89,1783
2020-05-08 00:00:00+00:00,IN,India,SEARO,3390,56342,103,1886
2020-05-09 00:00:00+00:00,IN,India,SEARO,3320,59662,95,1981
2020-05-10 00:00:00+00:00,IN,India,SEARO,3277,62939,128,2109
2020-05-11 00:00:00+00:00,IN,India,SEARO,4213,67152,97,2206
2020-05-12 00:00:00+00:00,IN,India,SEARO,3604,70756,87,2293
2020-05-13 00:00:00+00:00,IN,India,SEARO,3525,74281,122,2415
2020-05-14 00:00:00+00:00,IN,India,SEARO,3722,78003,134,2549
2020-05-15 00:00:00+00:00,IN,India,SEARO,3967,81970,100,2649
2020-05-16 00:00:00+00:00,IN,India,SEARO,3970,85940,103,2752
2020-05-17 00:00:00+00:00,IN,India,SEARO,4987,90927,120,2872
2020-05-18 00:00:00+00:00,IN,India,SEARO,5242,96169,157,3029
2020-05-19 00:00:00+00:00,IN,India,SEARO,4970,101139,134,3163
2020-05-20 00:00:00+00:00,IN,India,SEARO,5611,106750,140,3303
2020-05-21 00:00:00+00:00,IN,India,SEARO,5609,112359,132,3435
2020-05-22 00:00:00+00:00,IN,India,SEARO,6088,118447,148,3583
2020-05-23 00:00:00+00:00,IN,India,SEARO,6654,125101,137,3720
2020-05-24 00:00:00+00:00,IN,India,SEARO,6767,131868,147,3867
2020-05-25 00:00:00+00:00,IN,India,SEARO,6977,138845,154,4021
2020-05-26 00:00:00+00:00,IN,India,SEARO,6535,145380,146,4167
2020-05-27 00:00:00+00:00,IN,India,SEARO,6387,151767,170,4337
2020-05-28 00:00:00+00:00,IN,India,SEARO,6566,158333,194,4531
2020-05-29 00:00:00+00:00,IN,India,SEARO,7466,165799,175,4706
2020-05-30 00:00:00+00:00,IN,India,SEARO,7964,173763,265,4971
2020-05-31 00:00:00+00:00,IN,India,SEARO,8380,182143,193,5164
2020-06-01 00:00:00+00:00,IN,India,SEARO,8392,190535,230,5394
2020-06-02 00:00:00+00:00,IN,India,SEARO,8171,198706,204,5598
2020-06-03 00:00:00+00:00,IN,India,SEARO,8909,207615,217,5815
2020-06-04 00:00:00+00:00,IN,India,SEARO,9304,216919,260,6075
2020-06-05 00:00:00+00:00,IN,India,SEARO,9851,226770,273,6348
2020-06-06 00:00:00+00:00,IN,India,SEARO,9887,236657,294,6642
2020-06-07 00:00:00+00:00,IN,India,SEARO,9971,246628,287,6929
2020-06-08 00:00:00+00:00,IN,India,SEARO,9983,256611,206,7135
2020-06-09 00:00:00+00:00,IN,India,SEARO,9987,266598,331,7466
2020-06-10 00:00:00+00:00,IN,India,SEARO,9985,276583,279,7745
2020-06-11 00:00:00+00:00,IN,India,SEARO,9996,286579,357,8102
2020-06-12 00:00:00+00:00,IN,India,SEARO,10956,297535,396,8498
2020-03-02 00:00:00+00:00,ID,Indonesia,SEARO,2,2,0,0
2020-03-03 00:00:00+00:00,ID,Indonesia,SEARO,0,2,0,0
2020-03-04 00:00:00+00:00,ID,Indonesia,SEARO,0,2,0,0
2020-03-05 00:00:00+00:00,ID,Indonesia,SEARO,0,2,0,0
2020-03-06 00:00:00+00:00,ID,Indonesia,SEARO,2,4,0,0
2020-03-07 00:00:00+00:00,ID,Indonesia,SEARO,0,4,0,0
2020-03-08 00:00:00+00:00,ID,Indonesia,SEARO,2,6,0,0
2020-03-09 00:00:00+00:00,ID,Indonesia,SEARO,0,6,0,0
2020-03-10 00:00:00+00:00,ID,Indonesia,SEARO,13,19,0,0
2020-03-11 00:00:00+00:00,ID,Indonesia,SEARO,8,27,1,1
2020-03-12 00:00:00+00:00,ID,Indonesia,SEARO,7,34,0,1
2020-03-13 00:00:00+00:00,ID,Indonesia,SEARO,35,69,3,4
2020-03-14 00:00:00+00:00,ID,Indonesia,SEARO,0,69,0,4
2020-03-15 00:00:00+00:00,ID,Indonesia,SEARO,48,117,0,4
2020-03-16 00:00:00+00:00,ID,Indonesia,SEARO,55,172,1,5
2020-03-17 00:00:00+00:00,ID,Indonesia,SEARO,0,172,0,5
2020-03-18 00:00:00+00:00,ID,Indonesia,SEARO,55,227,14,19
2020-03-19 00:00:00+00:00,ID,Indonesia,SEARO,82,309,6,25
2020-03-20 00:00:00+00:00,ID,Indonesia,SEARO,60,369,7,32
2020-03-21 00:00:00+00:00,ID,Indonesia,SEARO,81,450,6,38
2020-03-22 00:00:00+00:00,ID,Indonesia,SEARO,64,514,10,48
2020-03-23 00:00:00+00:00,ID,Indonesia,SEARO,65,579,1,49
